video_id,comment_id,text,author,channel_id,likes,replies,time,timestamp,scraped_at,source,original_length,clean_text,normalized_text,processed_text,sentiment_text,text_length,word_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,has_exclamation,has_question,has_emoji
dc5S4IV_NeA,UgzXCqfGhXHwPJClGQ54AaABAg,"Is this the avert , very poor not christmasy at all who comes up with this nonsense",@Rickyj82,,0,0,7 days ago,1762567816.376291,2025-11-14T21:10:16.376291,youtube,83,"Is this the avert , very poor not christmasy at all who comes up with this nonsense",is this the avert very poor not christmasy at all who comes up with this nonsense,avert poor christmasy come nonsense,"Is this the avert , very poor not christmasy at all who comes up with this nonsense",83,17,3.9411764705882355,-0.52,0.78,False,False,False
dc5S4IV_NeA,Ugx2Zr2mJ5-bChT370B4AaABAg,"While looking at photos of my son when he was 3 the other day I said to my wife I'd love that little boy to run into the room and jump up for a cuddle again. He's now 23, finished uni and heading to Japan next week to start his first job, so yes I filled up  watching this😢",@gjohn1383,,0,0,7 days ago (edited),1762567816.477278,2025-11-14T21:10:16.477278,youtube,273,"While looking at photos of my son when he was 3 the other day I said to my wife I'd love that little boy to run into the room and jump up for a cuddle again. He's now 23, finished uni and heading to Japan next week to start his first job, so yes I filled up watching this😢",while looking at photos of my son when he was the other day i said to my wife id love that little boy to run into the room and jump up for a cuddle again hes now finished uni and heading to japan next week to start his first job so yes i filled up watching this😢,looking photo son day said wife id love little boy run room jump cuddle he finished uni heading japan next week start first job filled watching,"While looking at photos of my son when he was 3 the other day I said to my wife I'd love that little boy to run into the room and jump up for a cuddle again. He's now 23, finished uni and heading to Japan next week to start his first job, so yes I filled up watching this😢",273,59,3.6271186440677967,0.13958333333333334,0.4513888888888889,False,False,True
dc5S4IV_NeA,UgxL7_Aj9rHkVISA3D54AaABAg.APFEcSJm7gKAPGb3MN3xe2,"Nope, you parrots are just being weird about it.",@jonsmith2832,,0,0,6 days ago,1762654216.851571,2025-11-14T21:10:16.851571,youtube,48,"Nope, you parrots are just being weird about it.",nope you parrots are just being weird about it,nope parrot weird,"Nope, you parrots are just being weird about it.",48,9,4.444444444444445,-0.5,1.0,False,False,False
dc5S4IV_NeA,UgxL7_Aj9rHkVISA3D54AaABAg.APFEcSJm7gKAPHL5OqtF-S,@jonsmith2832 nah he’s right you lot hate this with every fibre of your being,@Diggerbx,,0,0,6 days ago,1762654216.951736,2025-11-14T21:10:16.951736,youtube,77,nah he’s right you lot hate this with every fibre of your being,nah he’s right you lot hate this with every fibre of your being,nah right lot hate every fibre,nah he’s right you lot hate this with every fibre of your being,77,14,4.571428571428571,-0.2571428571428572,0.7178571428571429,False,False,False
dc5S4IV_NeA,UgxDuLLksJe7goTftLR4AaABAg,Powerful! 🥲 love the house music reference too,@djliamgeddes,,0,0,7 days ago,1762567817.314896,2025-11-14T21:10:17.314896,youtube,46,Powerful! 🥲 love the house music reference too,powerful 🥲 love the house music reference too,powerful love house music reference,Powerful! 🥲 love the house music reference too,46,8,4.875,0.4375,0.8,True,False,False
dc5S4IV_NeA,Ugw1y_dyXPD_W0t7gBF4AaABAg,We are back 🏴󠁧󠁢󠁥󠁮󠁧󠁿,@nayb87,,0,0,7 days ago,1762567817.417918,2025-11-14T21:10:17.417918,youtube,19,We are back 🏴󠁧󠁢󠁥󠁮󠁧󠁿,we are back 🏴󠁧󠁢󠁥󠁮󠁧󠁿,we are back,We are back 🏴󠁧󠁢󠁥󠁮󠁧󠁿,19,4,4.0,0.0,0.0,False,False,True
dc5S4IV_NeA,UgzSxnU4h5s_wVF2n7R4AaABAg,Ohhh that hit the spot. Can tell I'm a daddy as I made a happy tear.,@ozikeri,,0,0,7 days ago,1762567817.519048,2025-11-14T21:10:17.519048,youtube,68,Ohhh that hit the spot. Can tell I'm a daddy as I made a happy tear.,ohhh that hit the spot can tell im a daddy as i made a happy tear,ohhh hit spot tell im daddy made happy tear,Ohhh that hit the spot. Can tell I'm a daddy as I made a happy tear.,68,16,3.3125,0.8,1.0,False,False,False
dc5S4IV_NeA,UgwzfLt6E-J2ktPxKVd4AaABAg,Best Christmas advert for years,@Blakeyonthebus-h3d3n,,0,0,7 days ago,1762567817.619894,2025-11-14T21:10:17.619894,youtube,31,Best Christmas advert for years,best christmas advert for years,best christmas advert year,Best Christmas advert for years,31,5,5.4,1.0,0.3,False,False,False
dc5S4IV_NeA,Ugw-8_WR_bRdxW9badZ4AaABAg,What a great ad🎉great memories we were lucky iykyk😂,@susanjennifer161,,0,0,7 days ago,1762567817.823359,2025-11-14T21:10:17.823359,youtube,51,What a great ad🎉great memories we were lucky iykyk😂,what a great ad🎉great memories we were lucky iykyk😂,ad memory lucky iykyk,What a great ad🎉great memories we were lucky iykyk😂,51,9,4.777777777777778,0.5666666666666667,0.7916666666666667,False,False,True
dc5S4IV_NeA,UgxpjBoqceJZDqZNmyV4AaABAg,Finally an Ad that does not feature ethnics and alphabets,@Gerry-r5t,,0,0,7 days ago,1762567817.924243,2025-11-14T21:10:17.924243,youtube,57,Finally an Ad that does not feature ethnics and alphabets,finally an ad that does not feature ethnics and alphabets,finally ad feature ethnic alphabet,Finally an Ad that does not feature ethnics and alphabets,57,10,4.8,0.0,1.0,False,False,False
dc5S4IV_NeA,UgxtTRmxIK7lJndW1El4AaABAg,This 2 minute advert has more emotional depth than 90% of million dollar Hollywood films.,@TheStubertos,,0,1,7 days ago,1762567818.025807,2025-11-14T21:10:18.025807,youtube,89,This 2 minute advert has more emotional depth than 90% of million dollar Hollywood films.,this minute advert has more emotional depth than of million dollar hollywood films,minute advert emotional depth million dollar hollywood film,This 2 minute advert has more emotional depth than 90% of million dollar Hollywood films.,89,15,5.0,0.25,0.575,False,False,False
dc5S4IV_NeA,UgySeUJSOlo1K0rBr6x4AaABAg,"As a single Dad to a near teenage son, this closely relates to me!
It seems society  likes to stick its fingers up at at us blokes at times.  I have felt that way a lot of times  since i seperated from my ex.  
This advert is briillant. Thanks John Lewis!",@cannedham86,,0,0,7 days ago (edited),1762567818.127631,2025-11-14T21:10:18.127631,youtube,255,"As a single Dad to a near teenage son, this closely relates to me! It seems society likes to stick its fingers up at at us blokes at times. I have felt that way a lot of times since i seperated from my ex. This advert is briillant. Thanks John Lewis!",as a single dad to a near teenage son this closely relates to me it seems society likes to stick its fingers up at at us blokes at times i have felt that way a lot of times since i seperated from my ex this advert is briillant thanks john lewis,single dad near teenage son closely relates seems society like stick finger u bloke time felt way lot time since seperated ex advert briillant thanks john lewis,"As a single Dad to a near teenage son, this closely relates to me! It seems society likes to stick its fingers up at at us blokes at times. I have felt that way a lot of times since i seperated from my ex. This advert is briillant. Thanks John Lewis!",255,51,3.9215686274509802,0.06964285714285715,0.20357142857142857,True,False,False
dc5S4IV_NeA,UgwNZP5GSBSDrjY5DON4AaABAg,Can't find the words? Share a couple of Garrys this Christmas.,@SebDJ,,0,0,7 days ago,1762567818.228546,2025-11-14T21:10:18.228546,youtube,62,Can't find the words? Share a couple of Garrys this Christmas.,cant find the words share a couple of garrys this christmas,cant find word share couple garrys christmas,Can't find the words? Share a couple of Garrys this Christmas.,62,11,4.7272727272727275,0.0,0.0,False,True,False
dc5S4IV_NeA,UgzqGfhuwVUEfIna8Rh4AaABAg,Rubbish  gets worse every year,@neildaniels5512,,0,0,7 days ago,1762567818.532526,2025-11-14T21:10:18.532526,youtube,30,Rubbish gets worse every year,rubbish gets worse every year,rubbish get worse every year,Rubbish gets worse every year,30,5,5.0,-0.4,0.6,False,False,False
dc5S4IV_NeA,UgwkxXJt2WjcuLv834J4AaABAg,No doctors or engineers in it 😊,@fluxant,,0,0,7 days ago,1762567818.633446,2025-11-14T21:10:18.634456,youtube,31,No doctors or engineers in it 😊,no doctors or engineers in it 😊,doctor engineer,No doctors or engineers in it 😊,31,7,3.5714285714285716,0.0,0.0,False,False,True
dc5S4IV_NeA,UgyRF08E5f0RqM0Qo-l4AaABAg,Yes adverts need to show the real meaning of celebration. Family time.  Tear jerker,@suzukipurple,,0,0,7 days ago,1762567818.734572,2025-11-14T21:10:18.734572,youtube,83,Yes adverts need to show the real meaning of celebration. Family time. Tear jerker,yes adverts need to show the real meaning of celebration family time tear jerker,advert need show real meaning celebration family time tear jerker,Yes adverts need to show the real meaning of celebration. Family time. Tear jerker,83,14,4.928571428571429,0.2,0.30000000000000004,False,False,False
dc5S4IV_NeA,UgyLbsIEQH7L_VZ025h4AaABAg,Nice to see it wasnt something over the top that would exploit your emotions. like the son was a ghost or something. Just simple a wholesome,@Thedarkknight2244,,0,0,7 days ago,1762567818.836117,2025-11-14T21:10:18.836117,youtube,140,Nice to see it wasnt something over the top that would exploit your emotions. like the son was a ghost or something. Just simple a wholesome,nice to see it wasnt something over the top that would exploit your emotions like the son was a ghost or something just simple a wholesome,see wasnt something top exploit emotion son ghost something simple wholesome,Nice to see it wasnt something over the top that would exploit your emotions. like the son was a ghost or something. Just simple a wholesome,140,26,4.423076923076923,0.3666666666666667,0.6190476190476191,False,False,False
dc5S4IV_NeA,UgwpKhej8LN_1AtOmEZ4AaABAg,"Well done, John Lewis and thank you",@Ianrday7777,,0,0,7 days ago,1762567818.937559,2025-11-14T21:10:18.937559,youtube,35,"Well done, John Lewis and thank you",well done john lewis and thank you,well done john lewis thank,"Well done, John Lewis and thank you",35,7,4.142857142857143,0.0,0.0,False,False,False
dc5S4IV_NeA,Ugyste-FCrjI1_wVTk14AaABAg,"Beautiful, just beautiful.

👏👏",@V4DER,,0,0,7 days ago,1762567819.039809,2025-11-14T21:10:19.039809,youtube,30,"Beautiful, just beautiful. 👏👏",beautiful just beautiful 👏👏,beautiful beautiful,"Beautiful, just beautiful. 👏👏",30,4,6.5,0.85,1.0,False,False,True
dc5S4IV_NeA,UgwTDjCDfKHvdaqDFRR4AaABAg,What's the world coming to? Utter ✊🌊,@W42PZ,,0,0,7 days ago,1762567819.140246,2025-11-14T21:10:19.140246,youtube,36,What's the world coming to? Utter ✊🌊,whats the world coming to utter ✊🌊,whats world coming utter,What's the world coming to? Utter ✊🌊,36,7,4.285714285714286,0.0,1.0,False,True,True
dc5S4IV_NeA,Ugx8ymukCo-oVlId3s94AaABAg,Best one yet,@Sabonan,,0,0,7 days ago,1762567819.241508,2025-11-14T21:10:19.241508,youtube,12,Best one yet,best one yet,best one yet,Best one yet,12,3,3.3333333333333335,1.0,0.3,False,False,False
dc5S4IV_NeA,UgxtTRmxIK7lJndW1El4AaABAg.APEU_-JoobrAPP3NrrHT3P,"Funnily enough, the ads premise and visuals are a rip off of a movie called Aftersun.",@riggzboson6187,,0,0,3 days ago,1762913419.509101,2025-11-14T21:10:19.510123,youtube,85,"Funnily enough, the ads premise and visuals are a rip off of a movie called Aftersun.",funnily enough the ads premise and visuals are a rip off of a movie called aftersun,funnily enough ad premise visuals rip movie called aftersun,"Funnily enough, the ads premise and visuals are a rip off of a movie called Aftersun.",85,16,4.375,0.0,0.5,False,False,False
dc5S4IV_NeA,UgwHwqiBRWPnbh6v5FR4AaABAg,Why did I choose at work to watch this for the first time?????  🥲,@gillianhilton9223,,0,0,7 days ago,1762567819.846609,2025-11-14T21:10:19.846609,youtube,65,Why did I choose at work to watch this for the first time????? 🥲,why did i choose at work to watch this for the first time 🥲,choose work watch first time,Why did I choose at work to watch this for the first time????? 🥲,65,14,3.642857142857143,0.25,0.3333333333333333,False,True,False
