video_id,comment_id,text,author,channel_id,likes,replies,time,timestamp,scraped_at,source,original_length,clean_text,normalized_text,processed_text,sentiment_text,text_length,word_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,has_exclamation,has_question,has_emoji
dc5S4IV_NeA,UgzqZsNo3Nn7nnks9_B4AaABAg,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ► https://www.theguardian.com/media/2025/nov/04/john-lewis-christmas-advert-countdown-90s-club-classic-where-love-lives,@guardiannews,,0,2,10 days ago,1762309810.350844,2025-11-14T21:30:10.352117,youtube,196,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ►,john lewis ad kickstarts christmas countdown to the tune of s club classic ►,john lewis ad kickstarts christmas countdown tune club classic,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ►,196,15,12.133333333333333,0.16666666666666666,0.16666666666666666,False,False,True
dc5S4IV_NeA,Ugy_km8ojKFPUdFVJ054AaABAg,So he hugged his son after years just because he was bought a record i hug my son every day.,@Gary-s9r6x,,0,0,1 hour ago,1763170210.453285,2025-11-14T21:30:10.453285,youtube,92,So he hugged his son after years just because he was bought a record i hug my son every day.,so he hugged his son after years just because he was bought a record i hug my son every day,hugged son year bought record hug son every day,So he hugged his son after years just because he was bought a record i hug my son every day.,92,20,3.65,0.0,0.0,False,False,False
dc5S4IV_NeA,UgzSuDRvWug-o-usPUN4AaABAg,Was a black singer!!!!!,@Jess-qy6pm,,0,0,3 hours ago,1763163010.554296,2025-11-14T21:30:10.554296,youtube,23,Was a black singer!!!!!,was a black singer,black singer,Was a black singer!!!!!,23,4,5.0,-0.5086263020833333,0.43333333333333335,True,False,False
dc5S4IV_NeA,Ugxk7bk4KLl6pSLrHMN4AaABAg,❤❤❤❤ Came here after watching the diabolical m&s advert,@hopeack12345,,0,0,4 hours ago,1763159410.655572,2025-11-14T21:30:10.655572,youtube,55,❤❤❤❤ Came here after watching the diabolical m&s advert,❤❤❤❤ came here after watching the diabolical ms advert,came watching diabolical m advert,❤❤❤❤ Came here after watching the diabolical m&s advert,55,9,5.222222222222222,0.0,0.0,False,False,True
dc5S4IV_NeA,UgwIm3n0hoOnDyeA3eR4AaABAg,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad  doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",@LessMarxMoreMises,,0,0,5 hours ago,1763155810.756502,2025-11-14T21:30:10.756502,youtube,282,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",worst christmas ad in history was it written by ai forced sentimentality weird parodylike cringe fest its as if they said right what sums up a british christmas a middleaged labourvoting dad doing tiktoklevel dad dancing at a rave he absolutely should not be at,worst christmas ad history written ai forced sentimentality weird parodylike cringe fest said right sum british christmas middleaged labourvoting dad tiktoklevel dad dancing rave absolutely,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",282,45,5.266666666666667,-0.23154761904761903,0.6059523809523809,True,True,False
dc5S4IV_NeA,Ugy6CsEJSGMuiKcI65d4AaABAg,Excellent advert. As usual JL blows the other retailers out of the water.,@rosson1983,,0,0,7 hours ago,1763148610.857678,2025-11-14T21:30:10.857678,youtube,73,Excellent advert. As usual JL blows the other retailers out of the water.,excellent advert as usual jl blows the other retailers out of the water,excellent advert usual jl blow retailer water,Excellent advert. As usual JL blows the other retailers out of the water.,73,13,4.6923076923076925,0.20833333333333334,0.5416666666666666,False,False,False
dc5S4IV_NeA,UgyffUQP92et6qfLnE54AaABAg,"Oh this is lovely and, yes, I’m crying 🥹",@jackieplatts4359,,0,0,8 hours ago,1763145010.959229,2025-11-14T21:30:10.959229,youtube,40,"Oh this is lovely and, yes, I’m crying 🥹",oh this is lovely and yes i’m crying 🥹,oh lovely cry,"Oh this is lovely and, yes, I’m crying 🥹",40,9,3.5555555555555554,0.15,0.675,False,False,False
dc5S4IV_NeA,UgwyF4j0DI8SM4uiTwJ4AaABAg,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",@m535i,,0,0,10 hours ago,1763137811.060627,2025-11-14T21:30:11.060627,youtube,280,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",well done to all those who put this amazing john lewis advert together absolutely nailed it cant believe the emotions tears that have come over me id do anything for one last hug with my dad but sadly hes gone lets hope this advert brings families closer together again,well done put amazing john lewis advert together absolutely nailed cant believe emotion tear come id anything one last hug dad sadly he gone let hope advert brings family closer together,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",280,50,4.62,0.07500000000000001,0.7166666666666667,False,False,False
dc5S4IV_NeA,UgwhfJqiriRRcmh5rtV4AaABAg,Another disappointing Christmas advert,@666kismett,,0,0,13 hours ago,1763127011.26273,2025-11-14T21:30:11.262730,youtube,38,Another disappointing Christmas advert,another disappointing christmas advert,another disappointing christmas advert,Another disappointing Christmas advert,38,4,8.75,-0.6,0.7,False,False,False
dc5S4IV_NeA,Ugx-hnpSg4tVX97Y1e54AaABAg,Old skoolers ❤️ ❤,@engerland3239,,0,0,15 hours ago,1763119811.363939,2025-11-14T21:30:11.363939,youtube,17,Old skoolers ❤️ ❤,old skoolers ❤️ ❤,old skoolers,Old skoolers ❤️ ❤,17,4,3.5,0.1,0.2,False,False,True
